weight,sex,litter,lsize,treatment,pup
6.23,Female,8,17,Control,93
5.95,Female,8,17,Control,94
6.16,Female,8,17,Control,95
6.19,Female,8,17,Control,96
5.32,Female,8,17,Control,97
5,Female,8,17,Control,98
6.3,Female,8,17,Control,99
5,Female,8,17,Control,100
5.56,Female,8,17,Control,101
5.37,Male,9,17,Control,102
5.58,Male,9,17,Control,103
5.51,Male,9,17,Control,104
5.19,Male,9,17,Control,105
5.34,Male,9,17,Control,106
5.77,Male,9,17,Control,107
5.17,Male,9,17,Control,108
4.57,Male,9,17,Control,109
5.39,Male,9,17,Control,110
5.62,Male,9,17,Control,111
5.4,Male,9,17,Control,112
5.77,Male,9,17,Control,113
5.24,Male,9,17,Control,114
5.37,Female,9,17,Control,115
5.33,Female,9,17,Control,116
5.44,Female,9,17,Control,117
5.14,Female,9,17,Control,118
7.3,Male,10,13,Control,119
6.6,Male,10,13,Control,120
6.58,Male,10,13,Control,121
6.68,Male,10,13,Control,122
6.46,Male,10,13,Control,123
6.38,Male,10,13,Control,124
6.44,Female,10,13,Control,125
6.67,Female,10,13,Control,126
6.43,Female,10,13,Control,127
6.53,Female,10,13,Control,128
5.92,Female,10,13,Control,129
6.52,Female,10,13,Control,130
6.44,Female,10,13,Control,131
5.65,Male,11,16,Low,132
5.78,Male,11,16,Low,133
6.23,Male,11,16,Low,134
5.7,Male,11,16,Low,135
5.73,Male,11,16,Low,136
6.1,Male,11,16,Low,137
5.55,Male,11,16,Low,138
5.71,Male,11,16,Low,139
5.81,Male,11,16,Low,140
6.1,Male,11,16,Low,141
5.54,Female,11,16,Low,142
5.72,Female,11,16,Low,143
5.5,Female,11,16,Low,144
5.64,Female,11,16,Low,145
5.42,Female,11,16,Low,146
5.42,Female,11,16,Low,147
5.83,Male,13,12,Low,150
5.97,Male,13,12,Low,151
6.39,Male,13,12,Low,152
5.69,Male,13,12,Low,153
5.69,Male,13,12,Low,154
5.97,Male,13,12,Low,155
6.04,Male,13,12,Low,156
5.46,Male,13,12,Low,157
6.09,Female,13,12,Low,158
5.39,Female,13,12,Low,159
5.89,Female,13,12,Low,160
5.14,Female,13,12,Low,161
5.92,Male,14,15,Low,162
5.75,Male,14,15,Low,163
6.22,Male,14,15,Low,164
5.96,Male,14,15,Low,165
5.59,Male,14,15,Low,166
5.79,Male,14,15,Low,167
6.23,Male,14,15,Low,168
5.88,Male,14,15,Low,169
6.02,Male,14,15,Low,170
5.66,Female,14,15,Low,171
5.76,Female,14,15,Low,172
5.73,Female,14,15,Low,173
5.33,Female,14,15,Low,174
5.58,Female,14,15,Low,175
5.88,Female,14,15,Low,176
6,Male,15,13,Low,177
6.11,Male,15,13,Low,178
6.4,Male,15,13,Low,179
6.06,Male,15,13,Low,180
6.39,Male,15,13,Low,181
6.09,Male,15,13,Low,182
6.32,Male,15,13,Low,183
5.96,Female,15,13,Low,184
6.32,Female,15,13,Low,185
5.83,Female,15,13,Low,186
5.97,Female,15,13,Low,187
5.87,Female,15,13,Low,188
5.67,Female,15,13,Low,189
6.43,Male,16,13,Low,190
6.13,Male,16,13,Low,191
5.87,Male,16,13,Low,192
6.09,Female,16,13,Low,193
5.63,Female,16,13,Low,194
5.84,Female,16,13,Low,195
6.2,Female,16,13,Low,196
6.42,Female,16,13,Low,197
5.9,Female,16,13,Low,198
5.62,Female,16,13,Low,199
6.23,Female,16,13,Low,200
5.85,Female,16,13,Low,201
5.89,Female,16,13,Low,202
5.81,Male,17,14,Low,203
5.44,Male,17,14,Low,204
5.65,Male,17,14,Low,205
5.25,Male,17,14,Low,206
5.45,Male,17,14,Low,207
5.32,Male,17,14,Low,208
5.89,Male,17,14,Low,209
5.63,Female,17,14,Low,210
5.12,Female,17,14,Low,211
5.65,Female,17,14,Low,212
5.29,Female,17,14,Low,213
5.13,Female,17,14,Low,214
5.6,Female,17,14,Low,215
5.08,Female,17,14,Low,216
6.77,Male,18,15,Low,217
7.13,Male,18,15,Low,218
6.85,Male,18,15,Low,219
6.49,Female,18,15,Low,220
6.09,Female,18,15,Low,221
6.09,Female,18,15,Low,222
5.99,Female,18,15,Low,223
6.01,Female,18,15,Low,224
6.11,Female,18,15,Low,225
6.15,Female,18,15,Low,226
4.75,Female,18,15,Low,227
5.69,Female,18,15,Low,228
6.19,Female,18,15,Low,229
5.72,Female,18,15,Low,230
6.14,Female,18,15,Low,231
6.72,Male,19,10,Low,232
6.34,Male,19,10,Low,233
6.48,Male,19,10,Low,234
5.74,Male,19,10,Low,235
6.11,Female,19,10,Low,236
5.71,Female,19,10,Low,237
6.41,Female,19,10,Low,238
6.21,Female,19,10,Low,239
6.11,Female,19,10,Low,240
5.81,Female,19,10,Low,241
5.9,Male,20,16,Low,242
6.22,Male,20,16,Low,243
6.67,Male,20,16,Low,244
6.23,Male,20,16,Low,245
6.24,Male,20,16,Low,246
6.26,Male,20,16,Low,247
6.38,Male,20,16,Low,248
6.05,Male,20,16,Low,249
5.89,Male,20,16,Low,250
6.29,Male,20,16,Low,251
6.12,Female,20,16,Low,252
5.4,Female,20,16,Low,253
5.5,Female,20,16,Low,254
5.46,Female,20,16,Low,255
5.97,Female,20,16,Low,256
6.11,Female,20,16,Low,257
5.09,Male,21,14,High,258
5.57,Male,21,14,High,259
5.69,Male,21,14,High,260
5.5,Male,21,14,High,261
5.45,Male,21,14,High,262
5.24,Male,21,14,High,263
5.36,Male,21,14,High,264
5.26,Male,21,14,High,265
5.36,Male,21,14,High,266
5.01,Male,21,14,High,267
5.03,Male,21,14,High,268
5.23,Female,21,14,High,269
5.13,Female,21,14,High,270
4.48,Female,21,14,High,271
5.3,Male,22,10,High,272
5.4,Male,22,10,High,273
5.55,Male,22,10,High,274
6.02,Male,22,10,High,275
5.27,Male,22,10,High,276
5.19,Female,22,10,High,277
5.42,Female,22,10,High,278
5.4,Female,22,10,High,279
5.12,Female,22,10,High,280
5.4,Female,22,10,High,281
7.7,Male,23,3,High,282
7.68,Female,23,3,High,283
6.33,Female,23,3,High,284
6.28,Male,24,12,High,285
5.74,Male,24,12,High,286
6.29,Male,24,12,High,287
5.68,Female,24,12,High,288
5.76,Female,24,12,High,289
6.03,Female,24,12,High,290
5.3,Female,24,12,High,291
5.55,Female,24,12,High,292
6.53,Female,24,12,High,293
5.76,Female,24,12,High,294
5.77,Female,24,12,High,295
5.49,Female,24,12,High,296
6.5,Male,25,8,High,297
7.1,Male,25,8,High,298
7,Male,25,8,High,299
7,Male,25,8,High,300
5.85,Male,25,8,High,301
6.1,Female,25,8,High,302
6.63,Female,25,8,High,303
6.33,Female,25,8,High,304
7,Male,26,9,High,305
6.15,Male,26,9,High,306
6.22,Female,26,9,High,307
6.2,Female,26,9,High,308
5.76,Female,26,9,High,309
6.21,Female,26,9,High,310
6.42,Female,26,9,High,311
6.42,Female,26,9,High,312
6.3,Female,26,9,High,313
5.64,Male,27,9,High,314
6.06,Male,27,9,High,315
6.56,Male,27,9,High,316
6.29,Male,27,9,High,317
5.69,Male,27,9,High,318
6.36,Male,27,9,High,319
5.93,Female,27,9,High,320
5.74,Female,27,9,High,321
5.74,Female,27,9,High,322
