oaw,nutrient,mesocosm,sib,area0,area1,meanrate
OAW-,N+,f,Sibling7,0.0068,0.0625,4.1949
OAW-,N+,d,Sibling8,0.01,0.0414,2.6701
OAW-,N+,e,Sibling8,0.01,0.0727,3.7468
OAW-,N+,f,Sibling8,0.01,0.0522,3.1104
OAW-,N+,d,Sibling9,0.0084,0.0543,3.5096
OAW-,N+,e,Sibling9,0.0084,0.0347,2.6571
OAW-,N+,f,Sibling9,0.0084,0.0475,3.2533
OAW-,N+,d,Sibling10,0.0092,0.043,2.8949
OAW-,N+,e,Sibling10,0.0092,0.0397,2.7447
OAW-,N+,f,Sibling10,0.0092,0.0578,3.4612
OAW-,N+,d,Sibling11,0.0116,0.0529,2.8489
OAW-,N+,e,Sibling11,0.0116,0.0402,2.3295
OAW-,N+,f,Sibling11,0.0116,0.0334,1.9796
OAW-,N+,d,Sibling12,0.0125,0.0511,2.6403
OAW-,N+,e,Sibling12,0.0125,0.0706,3.2555
OAW-,N+,f,Sibling12,0.0125,0.0503,2.6115
OAW-,N+,d,Sibling13,0.0095,0.049,3.089
OAW-,N+,e,Sibling13,0.0095,0.0377,2.5904
OAW-,N+,f,Sibling13,0.0095,0.107,4.59
OAW-,N+,d,Sibling14,0.013,0.0511,2.5683
OAW-,N+,e,Sibling14,0.013,0.0331,1.7463
OAW-,N+,f,Sibling14,0.013,0.0935,3.7235
OAW-,N+,d,Sibling15,0.0115,0.0475,2.6612
OAW-,N+,e,Sibling15,0.0115,0.0306,1.8285
OAW-,N+,f,Sibling15,0.0115,0.047,2.6411
OAW-,N+,d,Sibling16,0.009,0.0418,2.8838
OAW-,N+,e,Sibling16,0.009,0.0362,2.6105
OAW-,N+,f,Sibling16,0.009,0.0432,2.9447
OAW+,N-,g,Sibling1,0.011,0.0131,0.3231
OAW+,N-,h,Sibling1,0.011,0.0311,1.9458
OAW+,N-,i,Sibling1,0.011,0.0409,2.4635
OAW+,N-,g,Sibling2,0.0087,0.0236,1.8664
OAW+,N-,h,Sibling2,0.0087,0.022,1.7379
OAW+,N-,i,Sibling2,0.0087,0.0377,2.7535
OAW+,N-,g,Sibling3,0.0136,0.019,0.6279
OAW+,N-,h,Sibling3,0.0136,0.031,1.5427
OAW+,N-,i,Sibling3,0.0136,0.035,1.7734
OAW+,N-,g,Sibling4,0.01,0.0375,2.4842
OAW+,N-,h,Sibling4,0.01,0.0236,1.611
OAW+,N-,i,Sibling4,0.01,0.0297,2.045
OAW+,N-,g,Sibling5,0.0107,0.0153,0.6497
OAW+,N-,h,Sibling5,0.0107,0.0193,1.0944
OAW+,N-,i,Sibling5,0.0107,0.0308,1.9691
OAW+,N-,g,Sibling6,0.0096,0.024,1.7139
OAW+,N-,h,Sibling6,0.0096,0.0234,1.6654
OAW+,N-,i,Sibling6,0.0096,0.0122,0.4474
OAW+,N-,g,Sibling7,0.0068,0.024,2.3645
OAW+,N-,h,Sibling7,0.0068,0.0232,2.2977
OAW+,N-,i,Sibling7,0.0068,0.0171,1.7217
OAW+,N-,g,Sibling8,0.01,0.0114,0.2542
OAW+,N-,h,Sibling8,0.01,0.0265,1.8263
OAW+,N-,i,Sibling8,0.01,0.0243,1.665
OAW+,N-,g,Sibling9,0.0084,0.0198,1.5906
OAW+,N-,h,Sibling9,0.0084,0.0237,1.9348
OAW+,N-,i,Sibling9,0.0084,0.0294,2.3438
OAW+,N-,g,Sibling10,0.0092,0.0267,1.9894
OAW+,N-,h,Sibling10,0.0092,0.0234,1.7444
OAW+,N-,i,Sibling10,0.0092,0.0241,1.7977
OAW+,N-,g,Sibling11,0.0116,0.0214,1.1412
OAW+,N-,h,Sibling11,0.0116,0.0191,0.9318
OAW+,N-,i,Sibling11,0.0116,0.0155,0.5374
OAW+,N-,g,Sibling12,0.0125,0.0098,-0.4602
OAW+,N-,h,Sibling12,0.0125,0.0374,2.047
OAW+,N-,i,Sibling12,0.0125,0.0177,0.6492
OAW+,N-,g,Sibling13,0.0095,0.0237,1.7115
OAW+,N-,h,Sibling13,0.0095,,
OAW+,N-,i,Sibling13,0.0095,0.0277,2.0063
OAW+,N-,g,Sibling14,0.013,0.0203,0.8254
OAW+,N-,h,Sibling14,0.013,0.0273,1.3865
OAW+,N-,i,Sibling14,0.013,0.0122,-0.1217
OAW+,N-,g,Sibling15,0.0115,0.007,-0.9137
OAW+,N-,h,Sibling15,0.0115,0.0129,0.2177
OAW+,N-,i,Sibling15,0.0115,0.0142,0.3979
OAW+,N-,g,Sibling16,0.009,0.0142,0.8459
OAW+,N-,h,Sibling16,0.009,0.0156,1.0169
OAW+,N-,i,Sibling16,0.009,0.0208,1.5657
OAW+,N+,j,Sibling1,0.011,0.0297,1.8611
OAW+,N+,k,Sibling1,0.011,0.0346,2.1475
OAW+,N+,l,Sibling1,0.011,0.0465,2.7092
OAW+,N+,j,Sibling2,0.0087,0.0407,2.8981
OAW+,N+,k,Sibling2,0.0087,0.0264,2.0786
OAW+,N+,l,Sibling2,0.0087,0.0299,2.3153
OAW+,N+,j,Sibling3,0.0136,0.0386,1.9582
OAW+,N+,k,Sibling3,0.0136,0.042,2.1188
OAW+,N+,l,Sibling3,0.0136,0.0839,3.4338
OAW+,N+,j,Sibling4,0.01,0.0431,2.7487
OAW+,N+,k,Sibling4,0.01,0.0311,2.1275
OAW+,N+,l,Sibling4,0.01,0.0466,2.896
OAW+,N+,j,Sibling5,0.0107,0.0468,2.7616
OAW+,N+,k,Sibling5,0.0107,0.0355,2.2381
OAW+,N+,l,Sibling5,0.0107,0.0353,2.2267
OAW+,N+,j,Sibling6,0.0096,0.0392,2.6423
OAW+,N+,k,Sibling6,0.0096,0.0553,3.2977
OAW+,N+,l,Sibling6,0.0096,0.0484,3.042
OAW+,N+,j,Sibling7,0.0068,0.0294,2.7483
OAW+,N+,k,Sibling7,0.0068,0.0449,3.5597
OAW+,N+,l,Sibling7,0.0068,0.056,3.9849
OAW+,N+,j,Sibling8,0.01,0.038,2.5071
OAW+,N+,k,Sibling8,0.01,0.0553,3.2226
OAW+,N+,l,Sibling8,0.01,0.0408,2.6441
OAW+,N+,j,Sibling9,0.0084,0.0371,2.7859
OAW+,N+,k,Sibling9,0.0084,0.0395,2.9054
OAW+,N+,l,Sibling9,0.0084,0.0669,3.912
OAW+,N+,j,Sibling10,0.0092,0.026,1.9416
OAW+,N+,k,Sibling10,0.0092,0.027,2.0138
OAW+,N+,l,Sibling10,0.0092,0.0207,1.5162
OAW+,N+,j,Sibling11,0.0116,0.0417,2.3969
OAW+,N+,k,Sibling11,0.0116,0.0402,2.3268
OAW+,N+,l,Sibling11,0.0116,0.0347,2.0492
OAW+,N+,j,Sibling12,0.0125,0.0202,0.8899
OAW+,N+,k,Sibling12,0.0125,0.0357,1.9614
OAW+,N+,l,Sibling12,0.0125,0.0373,2.0449
OAW+,N+,j,Sibling13,0.0095,0.0945,4.3492
OAW+,N+,k,Sibling13,0.0095,0.0364,2.5238
OAW+,N+,l,Sibling13,0.0095,0.0361,2.505
OAW+,N+,j,Sibling14,0.013,0.036,1.9054
OAW+,N+,k,Sibling14,0.013,0.0381,2.0121
OAW+,N+,l,Sibling14,0.013,0.0464,2.3864
OAW+,N+,j,Sibling15,0.0115,0.0284,1.6897
OAW+,N+,k,Sibling15,0.0115,0.0493,2.7355
OAW+,N+,l,Sibling15,0.0115,0.0301,1.7982
OAW+,N+,j,Sibling16,0.009,0.025,1.9078
OAW+,N+,k,Sibling16,0.009,0.0249,1.9016
OAW+,N+,l,Sibling16,0.009,0.0818,4.1704
