block,fertilization,temperature,browsing,plot_id,individual,biomass,ext,notes
C,N,H,3,CNH3,A,18.9702,NA,-1
C,N,H,3,CNH3,B,12.9567,ext, (2-3-4-5)
C,N,H,3,CNH3,B,33.0307,NA, (2-3-4-5)
C,N,L,0,CNL0,B,30.7683,NA,(2-4-3)3/4
C,N,L,0,CNL0,B,15.6406,NA, (4-2-3) 1/4
C,N,L,0,CNL0,B,24.1849,NA,(4-2-3) 2/4
C,N,L,0,CNL0,B,34.2327,ext,(4-2-3) 4/4
C,N,L,0,CNL0,A,11.2066,NA,(5-1)
C,N,L,1,CNL1,A,14.4284,NA,NA
C,N,L,1,CNL1,B,14.809,NA,NA
C,N,L,1,CNL1,G,7.7924,NA,NA
C,N,L,1,CNL1,H,9.5926,NA,NA
C,N,L,1,CNL1,K,4.6405,NA,NA
C,N,L,1,CNL1,O,3.8947,NA,NA
C,N,L,1,CNL1,NA,0.0013,NA,Katherine
C,N,L,1,CNL1,P,4.8482,NA,NA
C,N,L,3,CNL3,C,0.7852,NA,NA
C,N,L,3,CNL3,D,12.9455,NA,NA
C,N,L,3,CNL3,E,7.2429,NA,(1-2)
C,N,L,3,CNL3,F,3.5882,NA,NA
C,N,L,3,CNL3,G,15.7908,NA,-3
C,N,L,3,CNL3,I,4.7256,NA,NA
C,S,H,0,CSH0,A,25.9692,NA,(5) 3/5
C,S,H,0,CSH0,A,27.879,ext,(5) 5/5
C,S,H,0,CSH0,A,15.9455,ext,(5) 2/5
C,S,H,0,CSH0,A,40.2108,ext,(5) 1/5
C,S,H,0,CSH0,B,22.8535,ext,(4-5)
C,S,H,1,CSH1,A,11.4493,NA,(5-7)
C,S,H,1,CSH1,C,4.8287,NA,(1-2-3)
C,S,H,1,CSH1,D,9.0666,ext,-6
C,S,H,3,CSH3,B,18.8984,NA,NA
C,S,H,3,CSH3,C,5.67,NA,(1-4)
C,S,H,3,CSH3,I,9.9619,NA,-6
C,S,H,3,CSH3,I,6.5485,ext,-6
C,S,L,0,CSL0,B,5.4261,NA,-2
C,S,L,0,CSL0,E,6.9653,NA,-1
C,S,L,0,CSL0,F,5.6903,NA,-4
C,S,L,0,CSL0,G,2.3606,NA,NA
C,S,L,0,CSL0,L,4.481,NA,NA
C,S,L,0,CSL0,Q,17.0506,NA,NA
C,S,L,0,CSL0,T,0.1954,NA,NA
C,S,L,1,CSL1,A,16.3375,NA, (3-5-1-4) 3/3
C,S,L,1,CSL1,B,11.4513,NA,NA
C,S,L,1,CSL1,A,23.7033,NA,40545
C,S,L,1,CSL1,A,44.4603,NA,40576
C,S,L,3,CSL3,A,6.5267,NA,NA
C,S,L,3,CSL3,E,7.4782,NA,(1-2)
C,S,L,3,CSL3,C,23.3905,NA,(3-4-5)
B,N,H,0,BNH0,NA,4.5045,NA,-5
B,N,H,0,BNH0,NA,3.9129,NA,-3
B,N,H,0,BNH0,F,25.1187,NA,NA
B,N,H,0,BNH0,NA,2.9492,NA,-4
B,N,H,0,BNH0,NA,4.13,NA,-2
B,N,H,0,BNH0,B,6.833,NA,NA
B,N,H,0,BNH0,A,0.9322,NA,NA
B,N,H,0,BNH0,C,2.4431,NA,NA
B,N,H,0,BNH0,G,3.0151,NA,NA
B,N,H,1,BNH1,C,27.2015,NA,clone
B,N,H,1,BNH1,NA,4.1186,NA,-4
B,N,H,1,BNH1,NA,0.8232,NA,-1
B,N,H,1,BNH1,NA,7.0576,NA,-2
B,N,H,1,BNH1,NA,4.2189,NA,-3
B,N,H,3,BNH3,NA,2.1047,NA,-4
B,N,H,3,BNH3,NA,3.3952,NA,-2
B,N,H,3,BNH3,NA,2.5507,NA,-1
B,N,H,3,BNH3,NA,3.00115,NA,-3
B,N,H,3,BNH3,B,0.6659,NA,NA
B,N,H,3,BNH3,A,0.9935,ext,NA
B,N,H,3,BNH3,N,0.4838,NA,NA
B,N,H,3,BNH3,E,2.8672,NA,NA
B,N,H,3,BNH3,H,0.2601,NA,NA
B,N,H,3,BNH3,G,0.4783,NA,NA
B,N,H,3,BNH3,A,5.0909,NA,NA
B,N,L,0,BNL0,NA,4.986,NA,-3
B,N,L,0,BNL0,NA,4.836,NA,-1
B,N,L,0,BNL0,NA,2.2981,NA,-2
B,N,L,0,BNL0,NA,1.3144,NA,-4
B,N,L,0,BNL0,D,2.4477,NA,NA
B,N,L,0,BNL0,C,3.2249,NA,NA
B,N,L,0,BNL0,F,24.1975,NA,NA
B,N,L,1,BNL1,A,0.9607,NA,-3
B,N,L,1,BNL1,NA,2.1415,NA,-2
B,N,L,1,BNL1,NA,2.1468,NA,-1
B,N,L,1,BNL1,NA,6.4771,NA,-4
B,N,L,1,BNL1,D,17.3394,NA,NA
B,N,L,3,BNL3,NA,6.4517,NA,-4
B,N,L,3,BNL3,NA,3.6568,NA,-2
B,N,L,3,BNL3,NA,1.7353,NA,-1
B,N,L,3,BNL3,E,6.3854,NA,-4
B,N,L,3,BNL3,D,13.1335,NA,NA
B,S,H,0,BSH0,NA,2.6799,NA,-4
B,S,H,0,BSH0,NA,2.4007,NA,-5
B,S,H,0,BSH0,NA,4.2279,NA,-1
B,S,H,0,BSH0,NA,1.1026,NA,-2
B,S,H,0,BSH0,G,22.3794,NA,NA
B,S,H,1,BSH1,NA,1.4304,NA,-5
B,S,H,1,BSH1,NA,1.2515,NA,-2
B,S,H,1,BSH1,NA,5.1415,NA,-1
B,S,H,1,BSH1,NA,3.1331,NA,-4
B,S,H,1,BSH1,A,12.2912,NA,NA
B,S,H,3,BSH3,NA,2.3695,NA,-4
B,S,H,3,BSH3,NA,1.2722,NA,-5
B,S,H,3,BSH3,NA,4.0326,NA,-2
B,S,H,3,BSH3,NA,2.5733,NA,-1
B,S,H,3,BSH3,NA,2.5391,NA,-3
B,S,H,3,BSH3,NA,0.5915,NA,-4
B,S,H,3,BSH3,B,3.3082,NA,NA
B,S,H,3,BSH3,G,2.8328,NA,NA
B,S,L,0,BSL0,NA,3.933,NA,-1
B,S,L,0,BSL0,NA,3.1816,NA,-3
B,S,L,0,BSL0,NA,2.5034,NA,-2
B,S,L,0,BSL0,NA,4.3332,NA,-4
B,S,L,0,BSL0,D,11.8179,NA,NA
B,S,L,0,BSL0,A,1.0545,NA,NA
B,S,L,1,BSL1,NA,3.6315,NA,-2
B,S,L,1,BSL1,NA,4.3806,NA,-4
B,S,L,1,BSL1,NA,1.4024,NA,-1
B,S,L,1,BSL1,NA,2.7167,NA,-3
B,S,L,1,BSL1,D,0.2902,NA,NA
B,S,L,1,BSL1,J,3.7845,NA,NA
B,S,L,1,BSL1,G,8.9281,NA,NA
B,S,L,3,BSL3,B,2.8646,NA,-4
B,S,L,3,BSL3,NA,0.7565,NA,-2
B,S,L,3,BSL3,NA,4.1244,NA,-3
B,S,L,3,BSL3,NA,2.8584,NA,-1
B,S,L,3,BSL3,I,8.2309,NA,NA
B,S,L,3,BSL3,G,0.7659,NA,NA
B,S,L,3,BSL3,C,0.9255,NA,NA
B,S,L,3,BSL3,F,4.9882,NA,NA
C,N,H,0,CNH0,NA,4.4126,NA,-1
C,N,H,0,CNH0,NA,10.6739,NA,-5
C,N,H,0,CNH0,NA,2.2749,NA,-2
C,N,H,0,CNH0,H,0.31,NA,NA
C,N,H,0,CNH0,D,0.3943,NA,NA
C,N,H,0,CNH0,I,0.1262,NA,NA
C,N,H,0,CNH0,E,1.1822,NA,-1
C,N,H,0,CNH0,NA,1.0681,NA,-4
C,N,H,0,CNH0,NA,0.013,NA,-3
C,N,H,0,CNH0,B,10.7092,NA,NA
C,N,H,1,CNH1,D,9.8462,int,-5
C,N,H,1,CNH1,A,0.185,NA,(1-4)
C,N,H,1,CNH1,K,0.7441,NA,NA
C,N,H,1,CNH1,M,0.4376,NA,NA
C,N,H,1,CNH1,C,1.5971,NA,NA
C,N,H,1,CNH1,NA,1.2733,NA,-5
C,N,H,1,CNH1,NA,3.8334,NA,-1
C,N,H,1,CNH1,NA,3.031,NA,-4
C,N,H,1,CNH1,NA,0,NA,-3
C,N,H,1,CNH1,NA,4.5179,NA,-2
C,N,H,1,CNH1,A,6.5739,NA,NA
C,N,H,3,CNH3,NA,4.116,NA,-4
C,N,H,3,CNH3,NA,0,mort,-2
C,N,H,3,CNH3,NA,2.7478,NA,-1
C,N,H,3,CNH3,NA,2.7043,NA,-3
C,N,H,3,CNH3,NA,0.9186,NA,-5
C,N,H,3,CNH3,B,23.3628,int,NA
C,N,L,0,CNL0,NA,9.4788,NA,-3
C,N,L,0,CNL0,B,23.7917,NA,NA
C,N,L,0,CNL0,NA,8.1063,NA,-1
C,N,L,0,CNL0,NA,7.7631,NA,-5
C,N,L,0,CNL0,NA,3.855,NA,-4
C,N,L,0,CNL0,C,0.4826,NA,NA
C,N,L,0,CNL0,NA,2.2822,NA,-2
C,N,L,0,CNL0,A,7.7829,NA,NA
C,N,L,1,CNL1,C,9.0196,NA,-1
C,N,L,1,CNL1,I,2.1408,NA,NA
C,N,L,1,CNL1,F,0.6846,NA,NA
C,N,L,1,CNL1,N,0.8124,NA,NA
C,N,L,1,CNL1,D,1.2888,NA,NA
C,N,L,1,CNL1,J,0.9468,NA,NA
C,N,L,1,CNL1,M,0.0557,NA,NA
C,N,L,1,CNL1,Q,0.6053,NA,NA
C,N,L,1,CNL1,NA,5.0248,NA,-4
C,N,L,1,CNL1,NA,4.5224,NA,-2
C,N,L,1,CNL1,NA,3.0959,NA,-3
C,N,L,1,CNL1,A,14.2272,int,NA
C,N,L,1,CNL1,A,5.0035,ext,(3-4)
C,N,L,3,CNL3,NA,5.4055,NA,-2
C,N,L,3,CNL3,H,1.9782,NA,NA
C,N,L,3,CNL3,K,0.9534,NA,NA
C,N,L,3,CNL3,L,1.6434,NA,NA
C,N,L,3,CNL3,A,0.7007,NA,NA
C,N,L,3,CNL3,J,0.7213,NA,NA
C,N,L,3,CNL3,NA,2.8581,NA,-4
C,N,L,3,CNL3,NA,5.3797,NA,-1
C,N,L,3,CNL3,NA,3.4227,NA,-3
C,N,L,3,CNL3,C,11.4898,NA,NA
C,S,H,0,CSH0,NA,4.1641,NA,-3
C,S,H,0,CSH0,NA,5.1318,NA,-1
C,S,H,0,CSH0,NA,5.537,NA,-2
C,S,H,0,CSH0,NA,3.1531,NA,-5
C,S,H,0,CSH0,NA,1.5737,NA,-4
C,S,H,0,CSH0,A,15.6104,NA,2/5
C,S,H,1,CSH1,B,2.2304,ext,-4
C,S,H,1,CSH1,NA,3.309,NA,-7
C,S,H,1,CSH1,NA,1.3893,NA,-2
C,S,H,1,CSH1,NA,2.0492,NA,-1
C,S,H,1,CSH1,NA,3.2402,NA,-4
C,S,H,1,CSH1,NA,1.7474,NA,-6
C,S,H,1,CSH1,NA,1.2922,NA,-5
C,S,H,1,CSH1,NA,1.666,NA,-3
C,S,H,1,CSH1,A,10.5806,NA,NA
C,S,H,3,CSH3,NA,2.2728,NA,-2
C,S,H,3,CSH3,NA,3.7948,NA,-5
C,S,H,3,CSH3,NA,1.9929,NA,-4
C,S,H,3,CSH3,E,1.101,NA,NA
C,S,H,3,CSH3,F,0.5709,NA,NA
C,S,H,3,CSH3,K,2.2998,NA,NA
C,S,H,3,CSH3,J,1.1774,NA,NA
C,S,H,3,CSH3,D,1.7539,NA,NA
C,S,H,3,CSH3,H,2.59,NA,NA
C,S,H,3,CSH3,A,4.9923,NA,NA
C,S,H,3,CSH3,NA,0,morte,-3
C,S,H,3,CSH3,NA,1.3296,NA,-1
C,S,H,3,CSH3,NA,0,morte,-6
C,S,H,3,CSH3,B,9.7151,NA,NA
C,S,L,0,CSL0,NA,8.155,NA,-2
C,S,L,0,CSL0,M,0.0048,NA,NA
C,S,L,0,CSL0,D,0.0265,NA,NA
C,S,L,0,CSL0,P,0.0179,NA,NA
C,S,L,0,CSL0,N,0.1249,NA,NA
C,S,L,0,CSL0,V,0.0373,NA,NA
C,S,L,0,CSL0,C,0.0099,NA,NA
C,S,L,0,CSL0,S,0.0043,NA,NA
C,S,L,0,CSL0,R,0.742,NA,NA
C,S,L,0,CSL0,I,0.6768,NA,NA
C,S,L,0,CSL0,V,2.8923,NA,NA
C,S,L,0,CSL0,NA,4.6066,NA,-4
C,S,L,0,CSL0,NA,4.2957,NA,-3
C,S,L,1,CSL1,NA,4.5212,NA,-5
C,S,L,1,CSL1,NA,3.1071,NA,-1
C,S,L,1,CSL1,NA,2.2536,NA,-4
C,S,L,1,CSL1,NA,3.0057,NA,-2
C,S,L,1,CSL1,C,2.6086,NA,NA
C,S,L,1,CSL1,NA,2.3138,NA,-3
C,S,L,1,CSL1,A,17.2568,NA,NA
C,S,L,1,CSL1,B,10.22,NA,NA
C,S,L,3,CSL3,D,3.1593,NA,NA
C,S,L,3,CSL3,B,1.1004,NA,NA
C,S,L,3,CSL3,NA,1.8367,NA,-2
C,S,L,3,CSL3,NA,3.6205,NA,-1
C,S,L,3,CSL3,NA,3.5397,NA,-3
C,S,L,3,CSL3,NA,2.1595,NA,-4
C,S,L,3,CSL3,NA,1.2681,NA,-5
C,S,L,3,CSL3,C,12.4492,NA,NA
D,S,H,3,DSH3,A,20.3376,NA,3 (Katherine)
D,S,H,1,DSH1,A,16.8901,NA,(Katherine)
D,N,H,0,DNH0,F,11.6835,ext,6
D,N,L,1,DNL1,E,13.3864,ext,1
D,S,L,3,DSL3,A,40.5994,NA,(2-5)
D,S,L,0,DSL0,G,24.7362,int,(1) 1/2
D,N,H,0,DNH0,B,9.4945,NA,(1-2)
D,S,H,1,DSH1,C,25.2755,NA,4
D,S,L,0,DSL0,D-G,16.5232,ext,1 2/2
D,N,L,0,DNL0,H,12.815,int,3
D,S,H,0,DSH0,G,36.2503,int,(1-2-3-5)
D,N,H,1,DNH1,A,9.4724,ext,2
D,S,L,3,DSL3,B,27.5547,int,(1-3-4) 1/3
D,N,H,3,DNH3,G,9.2184,int,5
D,N,H,3,DNH3,B,24.193,int,(1-3-7)
D,S,L,3,DSL3,B,28.9641,int,(1-3-4) 2/3
D,S,L,0,DSL0,F,12.3858,ext,4 2/2
D,S,L,0,DSL0,F,25.5624,ext,4 1/2
D,N,L,1,DNL1,D,3.1192,ext,NA
D,S,H,3,DSH3,B,35.8451,int,2
D,N,H,3,DNH3,D,7.7303,NA,NA
D,N,H,3,DNH3,G,9.8826,ext,5
D,N,L,1,DNL1,C,3.4334,int,2
D,N,L,0,DNL0,H,8.835,ext,3
D,N,L,1,DNL1,E,10.4366,int,1
D,N,H,3,DNH3,C,7.9771,NA,NA
D,S,H,3,DSH3,E,12.5137,ext,1
D,S,L,0,DSL0,C,10.5425,NA,NA
D,N,H,3,DNH3,B,16.74425,ext,(1-3-7)
D,S,L,3,DSL3,B,26.4477,NA,(1-3-4) 3/3
D,N,H,3,DNH3,E,8.2166,ext,(4)
D,N,H,1,DNH1,B,32.1801,NA,(3-4) 1/2
D,N,L,3,DNL3,D,13.4898,NA,(2-4)
D,N,L,0,DNL0,E,8.8279,int,(1)
D,S,L,0,DSL0,D,6.9733,NA,NA
D,S,L,0,DSL0,B,11.0638,NA,NA
D,N,L,0,DNL0,R,4.5388,NA,NA
D,S,H,1,DSH1,D,5.0282,ext,(3)
D,S,L,0,DSL0,E,4.3453,NA,NA
D,N,L,3,DNL3,A,3.5003,NA,(3)
D,N,L,3,DNL3,C,9.5406,NA,NA
D,S,H,1,DSH1,E,2.6726,NA,(1)
D,N,L,0,DNL0,G,3.7449,NA,NA
D,N,H,0,DNH0,C,15.793,NA,(5)
D,N,L,1,DNL1,B,5.7266,NA,(4)
D,N,L,0,DNL0,A,5.0434,NA,(4)
D,N,H,0,DNH0,D,3.133,NA,NA
D,S,H,1,DSH1,B,2.3798,NA,NA
D,N,L,0,DNL0,C,5.2105,NA,(2)
D,N,H,0,DNH0,D,3.133,NA,NA
D,N,L,1,DNL1,D,3.4433,int,NA
D,N,L,1,DNL1,A,5.536,NA,(3)
D,N,L,1,DNL1,H,2.4943,NA,NA
D,N,H,0,DNH0,E,0.2108,NA,NA
D,N,L,0,DNL0,B,3.4215,NA,NA
D,S,H,0,DSH0,G,34.0113,ext,(1-2-3-5)
D,S,H,3,DSH3,E,14.0115,int,(1)
D,N,L,0,DNL0,F,5.0848,NA,NA
D,S,L,0,DSL0,C,11.8753,ext,(3)
D,S,H,3,DSH3,B,12.1189,ext,(2)
D,N,L,0,DNL0,NA,3.9293,NA,3
D,N,H,0,DNH0,NA,4.6566,NA,1
D,N,H,0,DNH0,NA,5.0372,NA,5
D,N,H,1,DNH1,B,27.8846,NA,(3-4) 2/2
D,N,L,0,DNL0,NA,6.2244,NA,(1)
D,S,L,3,DSL3,NA,10.2349,NA,(3)
D,N,L,1,DNL1,NA,3.9465,NA,(3)
D,S,L,3,DSL3,NA,5.44,NA,(4)
D,S,H,0,DSH0,NA,5.5293,NA,(1)
D,N,L,0,DNL0,NA,2.043,NA,(4)
D,S,L,3,DSL3,NA,2.1309,NA,(5)
D,N,L,3,DNL3,NA,4.6707,NA,(3)
D,S,H,1,DSH1,NA,5.7475,NA,(2)
D,N,H,0,DNH0,NA,3.4293,NA,(4)
D,S,L,3,DSL3,NA,5.1644,NA,(1)
D,N,L,0,DNL0,NA,7.4157,NA,(2)
D,S,H,1,DSH1,NA,5.1811,NA,(3)
D,S,L,0,DSL0,NA,4.1007,NA,(2)
D,S,L,0,DSL0,NA,3.9631,NA,(1)
D,N,L,3,DNL3,NA,4.2258,NA,(5)
D,N,H,1,DNH1,NA,3.6184,NA,(1)
D,S,H,0,DSH0,NA,2.4513,NA,(5)
D,S,H,3,DSH3,NA,4.3653,NA,(1)
D,S,L,0,DSL0,NA,0.9745,NA,(4)
D,S,H,1,DSH1,NA,4.8029,NA,(1)
D,N,H,3,DNH3,NA,3.0356,NA,(6)
D,S,L,1,DSL1,NA,0.7104,NA,(4)
D,S,L,1,DSL1,NA,1.4247,NA,(1)
D,N,H,1,DNH1,NA,2.974,NA,(3)
D,S,L,0,DSL0,NA,2.1636,NA,(3)
D,N,L,1,DNL1,NA,1.5537,NA,(1)
D,N,L,3,DNL3,NA,2.231,NA,(2)
D,S,L,1,DSL1,NA,1.9631,NA,(5)
D,S,H,0,DSH0,NA,4.5521,NA,(2)
D,S,H,0,DSH0,NA,3.5194,NA,(3)
D,S,L,1,DSL1,NA,1.5299,NA,(2)
D,S,H,0,DSH0,G,0.2179,int,(1-2-3-5)
D,N,L,0,DNL0,NA,3.9293,NA,(3)
D,N,H,0,DNH0,NA,4.6566,NA,(1)
D,N,H,0,DNH0,NA,5.0372,NA,(5)
D,N,H,0,DNH0,NA,7.2769,NA,(2)
D,N,H,3,DNH3,NA,2.4079,NA,(5)
D,N,L,1,DNL1,NA,1.7656,NA,(2)
D,S,H,0,DSH0,K,3.6917,NA,(4)
D,S,H,1,DSH1,NA,6.8717,NA,(4)
D,N,H,0,DNH0,NA,1.6228,NA,(6)
D,S,L,3,DSL3,NA,3.0492,NA,(2)
D,N,H,1,DNH1,NA,1.3185,NA,(4)
D,S,L,1,DSL1,A,1.4492,NA,(3)
D,N,H,3,DNH3,NA,1.4877,NA,(7)
D,S,H,3,DSH3,NA,4.3513,NA,(2)
D,N,H,1,DNH1,NA,3.0854,NA,(2)
D,S,H,3,DSH3,NA,0.4325,NA,(4)
D,N,L,1,DNL1,NA,2.4483,NA,(4)
D,N,L,3,DNL3,NA,1.1401,NA,(1)
D,N,L,3,DNL3,NA,1.2703,NA,(4)
D,S,H,3,DSH3,NA,1.276,NA,(3)
E,N,L,3,ENL3,J,0.8047,NA,NA
D,S,L,1,DSL1,I,2.2958,NA,NA
D,S,L,1,DSL1,B,0.7923,NA,NA
D,S,L,1,DSL1,K,0.6917,NA,NA
D,S,L,1,DSL1,C,0.8014,NA,NA
D,N,H,1,DNH1,C,0.1014,NA,(1)
D,N,L,0,DNL0,O,1.938,NA,NA
D,S,L,1,DSL1,J,0.5983,NA,NA
D,N,L,0,DNL0,M,1.4391,NA,NA
D,N,L,0,DNL0,S,0.9128,NA,NA
D,S,H,0,DSH0,D,0.2269,NA,NA
D,N,L,1,DNL1,G,0.3461,NA,NA
D,S,H,0,DSH0,H,0.576,NA,NA
D,S,L,1,DSL1,F,1.9615,NA,NA
D,N,L,0,DNL0,J,1.0284,NA,NA
D,N,L,3,DNL3,G,0.1317,NA,NA
D,N,L,3,DNL3,E,0.523,NA,NA
D,N,L,0,DNL0,E,1.2222,ext,(1)
D,S,H,0,DSH0,F,0.8625,NA,NA
D,N,L,0,DNL0,T,1.3268,NA,NA
D,S,H,0,DSH0,B,0.1437,NA,NA
D,S,H,3,DSH3,D,0.2709,NA,NA
D,S,H,0,DSH0,A,0.2393,NA,NA
D,S,H,0,DSH0,E,0.2059,NA,NA
D,N,L,0,DNL0,K,0.6531,NA,NA
D,N,L,1,DNL1,F,2.2966,NA,NA
D,S,H,0,DSH0,C,0.6222,NA,NA
D,N,L,3,DNL3,H,0.0152,NA,NA
D,S,H,0,DSH0,L,0.1012,NA,NA
D,N,L,0,DNL0,D,0.0741,NA,NA
D,S,H,0,DSH0,J,0.1598,NA,NA
D,S,H,0,DSH0,I,0.1349,NA,NA
D,S,L,3,DSL3,C,0.072,NA,NA
D,N,L,3,DNL3,I,0,NA,NA
D,N,L,0,DNL0,L,0.1181,NA,NA
D,N,L,1,DNL1,C,2.4223,ext,(2)
D,N,H,0,DNH0,A,5.4538,ext,(4)
D,S,L,0,DSL0,A,2.0446,NA,NA
D,S,H,3,DSH3,C,5.4262,NA,(4)
D,N,L,0,DNL0,N,0.5115,NA,NA
D,N,H,3,DNH3,NA,2.0062,NA,(6)
D,N,L,0,DNL0,Q,7.9463,NA,NA
D,S,L,1,DSL1,H,1.7361,NA,(4)
D,S,L,1,DSL1,E,4.7206,NA,(1)
D,S,H,1,DSH1,D,3.4917,int,(3)
D,S,L,1,DSL1,D,0.9837,NA,NA
D,N,H,1,DNH1,A,0.7359,int,NA
D,N,L,0,DNL0,I,1.9684,NA,NA
D,N,H,3,DNH3,F,1.8309,NA,NA
D,S,L,1,DSL1,G,2.5903,NA,"(2,5,6)"
D,N,L,0,DNL0,P,0.8961,NA,NA
D,N,H,3,DNH3,E,2.5651,int,(4)
